time	input_value	encoder
108.4	36.93	90635
108.6	37.93	90635
108.8	38.93	90635
109	39.93	90635
109.2	40.93	90649
109.4	41.93	90702
109.6	42.93	90785
109.8	43.93	90893
110	44.93	91019
110.2	45.93	91160
110.4	46.93	91314
110.6	47.93	91479
110.8	48.93	91654
111	49.93	91838
111.2	50.93	92030
111.4	51.93	92230
111.6	52.93	92436
111.8	53.93	92650
112	54.93	92870
112.2	55.93	93096
112.4	56.93	93328
112.6	57.93	93565
112.8	58.93	93808
113	59.93	94059
113.2	60.93	94313
113.4	61.93	94573
113.6	62.93	94839
113.8	63.93	95112
114	64.93	95390
114.2	65.93	95671
114.4	66.93	95957
114.6	67.93	96247
114.8	68.93	96542
115	69.93	96841
115.2	70.93	97144
115.4	71.93	97451
115.6	72.93	97764
115.8	73.93	98079
116	74.93	98398
116.2	75.93	98722
116.4	76.93	99048
116.6	77.93	99380
116.8	78.93	99715
117	79.93	100052
117.2	80.93	100393
117.4	81.93	100737
117.6	82.93	101085
117.8	83.93	101436
118	84.93	101790
118.2	85.93	102148
118.4	86.93	102508
118.6	87.93	102874
118.8	88.93	103241
119	89.93	103610
119.2	90.93	103982
119.4	91.93	104357
119.6	92.93	104734
119.8	93.93	105113
120	94.93	105496
120.2	95.93	105881
120.4	96.93	106269
120.6	97.93	106658
120.8	98.93	107050
121	99.93	107446
121.2	100.93	107844
121.4	101.93	108241
121.6	102.93	108644
121.8	103.93	109049
122	104.93	109456
122.2	105.93	109863
122.4	106.93	110272
122.6	107.93	110684
122.8	108.93	111096
123	109.94	111511
123.2	110.94	111926
123.4	111.94	112343
123.6	112.94	112766
123.8	113.94	113187
124	114.94	113611
124.2	115.94	114035
124.4	116.94	114461
124.6	117.94	114888
124.8	118.94	115317
125	119.94	115747
125.2	120.94	116178
125.4	121.94	116610
125.6	122.94	117044
125.8	123.94	117480
126	124.94	117917
126.2	125.94	118353
126.4	126.94	118796
126.6	127.94	119236
126.8	128.94	119676
127	129.94	120118
127.2	130.94	120565
127.4	131.94	121013
127.6	132.94	121459
127.8	133.94	121906
128	134.94	122354
128.2	135.93	122805
128.4	136.93	123256
128.6	137.93	123709
128.8	138.93	124161
129	139.93	124614
129.2	140.93	125069
129.4	141.93	125528
129.6	142.93	125984
129.8	143.93	126441
130	144.93	126900
130.2	145.93	127360
130.4	146.93	127823
130.6	147.93	128284
130.8	148.93	128746
131	149.93	129212
131.2	150.93	129675
131.4	151.93	130140
131.6	152.93	130606
131.8	153.92	131073
132	154.92	131540
132.2	155.92	132009
132.4	156.92	132478
132.6	157.92	132950
132.8	158.92	133419
133	159.92	133889
133.2	160.92	134363
133.4	161.92	134834
